HELI_IDENT	SEQ_NBR	LENGTH	WIDTH	SURFACE	AC_TYPE	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	LGT_SYS_1	LGT_SYS_2	LGT_SYS_3	HIGH_IDENT	HIGH_HDG	HE_WGS_LAT	HE_WGS_DLAT	HE_WGS_LONG	HE_WGS_DLONG	HE_ELEV	HE_SLOPE	HLGT_SYS_1	HLGT_SYS_2	HLGT_SYS_3	LOW_IDENT	LOW_HDG	LE_WGS_LAT	LE_WGS_DLAT	LE_WGS_LONG	LE_WGS_DLONG	LE_ELEV	LE_SLOPE	LLGT_SYS_1	LLGT_SYS_2	LLGT_SYS_3	HIGH_TRUE	LOW_TRUE	CLD_RWY	PAD_ID	CYCLE_DATE
PK99754	52	00100		CON			30.926294		66.429803							30.926294		66.429803	4200.0	U							30.926294		66.429803										200403
UK00047	50			ASP			55.420000		-1.598667							55.420000		-1.598667	U	U							55.420000		-1.598667										200211
UK00047	2	04200	00120	ASP																				04	43.0		55.420000		-1.598667	U	U				218.0	38.0	C		199713
UK00047	3	03900	00120	ASP																				13	133.0		55.420000		-1.598667	U	U				308.0	128.0	C		199713
UK00047	1	05400	00120	ASP																				18	178.0		55.420000		-1.598667	U	U				353.0	173.0			200404
UK00119	3	04246	00150	ASP		N50581584	50.971067	W002560049	-2.933469							50.971067		-2.933469						03	28.0		50.971067		-2.933469	116.0	0.0				204.0	24.0			200310
UK00119	1	06007	00150	ASP		N50574802	50.963339	W002552944	-2.924844							50.963339		-2.924844			53	55		09	89.0		50.963339		-2.924844	146.0	-0.6	53	55		265.0	85.0			200310
UK00119	2	03705	00150	ASP		N50573268	50.959078	W002555999	-2.933331							50.959078		-2.933331						16	165.0		50.959078		-2.933331	119.0	-0.3				342.0	162.0			200310
UK00216	1	00124	00052	CON			51.469931		-0.179539				21			51.469931		-0.179539	18.0	U							51.469931		-0.179539									21	200403
UK00232	50	00471	00072	CON			51.506333		-0.439333							51.506333		-0.439333	U	U							51.506333		-0.439333										200008
US00053	53	02000	00060	ASP									H1						U	U							51.506333		-0.439333									H1	200603
US00053	54	01300	00060	ASP									H2						U	U							51.506333		-0.439333									H2	200603
US00053	55	02000	00060	ASP									H3						U	U							51.506333		-0.439333									H3	200603
US00053	56	01620	00075	ASP									H4						U	U							51.506333		-0.439333									H4	200603
US00053	57	01000	00060	ASP									H5						U	U							51.506333		-0.439333									H5	200603
US00053	50	01300	00050	ASP									HA						U	U							51.506333		-0.439333									HA	200603
US00053	51	01300	00050	ASP									HB						U	U							51.506333		-0.439333									HB	200603
US00053	52	01300	00050	ASP									HC						U	U							51.506333		-0.439333									HC	200603
US00060	1	02000	00075	ASP		N31205331	31.348142	W085444691	-85.746364							31.348142		-85.746364			07			06R	57.0		31.348142		-85.746364	241.0	-0.1	07			235.0	55.0	C		200505
US00060	2	02000	00075	ASP		N31205678	31.349106	W085444815	-85.746708							31.349106		-85.746708			07			06L	57.0		31.349106		-85.746708	241.0	-0.1	07			235.0	55.0	C		200505
US00060	3	02000	00075	ASP		N31203777	31.343825	W085445550	-85.748750							31.343825		-85.748750			07			18R	182.0		31.343825		-85.748750	U	U	07			360.0	180.0	C		200505
US00060	4	02000	00075	ASP		N31203777	31.343825	W085445102	-85.747506							31.343825		-85.747506			07			18L	182.0		31.343825		-85.747506	U	U	07			360.0	180.0	C		200505
US00060	50	00012	00012	U			31.359853		-85.748933				A1			31.359853		-85.748933	240.5	U							31.359853		-85.748933									A1	200603
US00060	51	00012	00012	U			31.358311		-85.748117				A2			31.358311		-85.748117	240.5	U							31.358311		-85.748117									A2	200603
US00060	54	00010	00010	U			31.352806		-85.752092				E1			31.352806		-85.752092	240.5	U							31.352806		-85.752092									E1	200603
US00060	52	00012	00012	U			31.359642		-85.755608				F1			31.359642		-85.755608	287.9	U							31.359642		-85.755608									F1	200603
US00060	53	00012	00012	U			31.358817		-85.755600				F2			31.358817		-85.755600	281.8	U							31.358817		-85.755600									F2	200603
