Tirschenreuth Im		123.500	123.500			1.608 ft 					49,87  	12,33  	49	52	26	12	19	30
Titschendorf		122.300				2.135 ft 					50,40  	11,52  	50	23	50	11	31	28
Tröstau		123.350	123.500			1.837 ft 					50,02  	11,93  	50	1	11	11	55	53
Übersberg		123.150				2.559 ft 					48,46  	9,30  	48	27	27	9	18	16
Ummern		123.500				213 ft 					52,62  	10,41  	52	37	14	10	24	39
Unterwössen		122.300				1.821 ft 					47,73  	12,44  	47	43	42	12	26	13
Uslar		129.975				853 ft 					51,66  	9,61  	51	39	46	9	36	33
Utscheid		123.350				1.391 ft 					50,00  	6,34  	49	59	56	6	20	35
Vaihingen		123.375				1.024 ft 					48,94  	8,98  	48	56	11	8	58	43
Vielbrunn		123.150				1.509 ft 					49,72  	9,08  	49	43	11	9	4	36
Vinsebeck Franknb		123.500				810 ft 					51,84  	9,02  	51	50	32	9	0	55
Völkleshofen Lic		130.125				1.293 ft 					49,01  	9,36  	49	0	34	9	21	22
Wächtersberg Hub		123.475				1.959 ft 					48,61  	8,76  	48	36	53	8	45	19
Waldeck		123.475				1.312 ft 					51,22  	9,06  	51	13	26	9	3	26
Walsrode Luisenho		123.500				197 ft 					52,89  	9,60  	52	53	19	9	36	0
Wangen Kissleg		123.500				2.100 ft 					47,75  	9,86  	47	45	16	9	51	25
Warburg Heinberg		123.500				558 ft 					51,50  	9,09  	51	29	47	9	5	22
Weipertshofen		123.350				1.444 ft 					49,09  	10,13  	49	5	10	10	7	39
Welzheim		123.150				1.699 ft 					48,88  	9,66  	48	52	38	9	39	26
Wenzendorf Halle		123.500				217 ft 					53,34  	9,78  	53	20	16	9	46	46
Weper		123.500				1.165 ft 					51,71  	9,80  	51	42	41	9	48	4
Werl		122.100				269 ft 					51,57  	7,93  	51	34	26	7	55	37
Werneuchen		122.600				263 ft 	26. Aug	1.499 m 	80 m 	B	52,63  	13,77  	52	38	0	13	46	3
Wershofen Eifel		122.300				1.582 ft 	25. Jul	630 m 	30 m 	G	50,45  	6,79  	50	27	7	6	47	10
Wildberg		118.550				1.723 ft 					47,60  	9,74  	47	35	54	9	44	24
Wildberg, Kengel		123.000				1.670 ft 					48,64  	8,73  	48	38	10	8	43	54
Wilsche, Gifhorn		129.975				180 ft 					52,53  	10,46  	52	31	30	10	27	51
Wittstock Berlinc		122.200				259 ft 					53,22  	12,56  	53	13	17	12	33	39
Wustweiler		122.475				1.197 ft 					49,39  	7,02  	49	23	41	7	1	2
Zellhausen		122.300				371 ft 					50,02  	8,98  	50	1	8	8	58	56
Zierenberg Dornberg		122.300				1.411 ft 					51,37  	9,33  	51	22	7	9	20	2
